id,photo_url,thumb_url
72,https://pe.tedcdn.com/images/ted/1367_253x190.jpg,https://pi.tedcdn.com/r/pe.tedcdn.com/images/ted/399_480x360.jpg?quality=89&w=600
73,https://pe.tedcdn.com/images/ted/fa0b1a71f62f5fa3d520ac5e0544d78e54faaab8_254x191.jpg,https://pi.tedcdn.com/r/talkstar-photos.s3.amazonaws.com/uploads/4e1c980f-806a-4144-b62b-a5fcaa3eb7a0/CarlHonore_2005G-embed.jpg?quality=89&w=600
74,https://pe.tedcdn.com/images/ted/91a065acf69dfcac32a31f237b43ad1ce74da11b_254x191.jpg,https://pi.tedcdn.com/r/pe.tedcdn.com/images/ted/0a5d1dc3d85559241d4528d2111dfc97b56d14a3_1600x1200.jpg?quality=89&w=600
75,https://pe.tedcdn.com/images/ted/1310_253x190.jpg,https://pi.tedcdn.com/r/pe.tedcdn.com/images/ted/cbb85fd640a070fdce1423ec282fff2445100563_1600x1200.jpg?quality=89&w=600
76,https://pe.tedcdn.com/images/ted/1312_254x191.jpg,https://pi.tedcdn.com/r/pe.tedcdn.com/images/ted/967edc6222feee0e6cb9d2f32aa7766fee852c11_1600x1200.jpg?quality=89&w=600
77,https://pe.tedcdn.com/images/ted/1362_253x190.jpg,https://pi.tedcdn.com/r/pe.tedcdn.com/images/ted/428_480x360.jpg?quality=89&w=600
78,https://pe.tedcdn.com/images/ted/1359_254x191.jpg,https://pi.tedcdn.com/r/pe.tedcdn.com/images/ted/46060181dac88f2dce68702191dded7e345675dc_2880x1620.jpg?quality=89&w=600
79,https://pe.tedcdn.com/images/ted/1311_253x190.jpg,https://pi.tedcdn.com/r/pe.tedcdn.com/images/ted/152_480x360.jpg?quality=89&w=600
80,https://pe.tedcdn.com/images/ted/f85d737d72da2c79505a659f3b16f7de0dd2d666_254x191.jpg,https://pi.tedcdn.com/r/pe.tedcdn.com/images/ted/417_480x360.jpg?quality=89&w=600
81,https://pe.tedcdn.com/images/ted/1344_253x190.jpg,https://pi.tedcdn.com/r/pe.tedcdn.com/images/ted/452_800x600.jpg?quality=89&w=600
82,https://pe.tedcdn.com/images/ted/1486_254x191.jpg,https://pi.tedcdn.com/r/pe.tedcdn.com/images/ted/15238_480x360.jpg?quality=89&w=600
83,https://pe.tedcdn.com/images/ted/1357_253x190.jpg,https://pi.tedcdn.com/r/talkstar-photos.s3.amazonaws.com/uploads/cedbc775-0f52-4750-b26a-bf2f6f7642c3/EOWilson_2007-embed.jpg?quality=89&w=600
