id,est_gender,est_age
1419,male,66
1420,female,35
1421,male,39
1422,male,39
1423,female,31
1424,female,53
1425,female,32
1426,male,47
1427,male,35
1428,male,57
1429,male,44
1430,female,34
1431,male,64
1432,female,34
1433,female,47
1434,male,53
1435,male,41
1436,male,45
1437,male,47
1438,female,23
1439,male,40
1440,male,58
1441,male,49
1442,female,37
1443,male,31
1444,male,40
1445,male,51
1446,male,48
1447,female,34
1448,male,31
1449,male,55
1450,male,32
1452,male,33
1453,female,35
1454,male,39
1455,male,51
1456,male,61
1457,female,40
1458,male,37
1459,male,33
1460,male,49
1461,male,36
1462,female,31
1463,male,36
1465,male,48
1466,male,55
1467,male,59
1468,female,47
1469,male,53
1470,male,32
1471,male,38
1472,male,40
1473,female,40
1474,male,48
1475,female,35
1476,female,29
1477,female,34
1479,male,33
1480,male,45
1481,male,40
1482,male,38
1483,male,48
1484,male,25
1485,male,69
1487,male,51
1488,male,28
1489,male,39
1490,male,37
1491,male,43
1492,male,60
1494,female,47
1495,male,36
1496,male,38
1498,female,36
1499,male,30
1500,male,36
1501,female,29
1503,male,43
1506,male,44
1507,male,35
1508,male,30
1509,female,53
1510,male,41
1512,male,35
1513,male,46
1514,male,51
1515,male,31
1516,male,28
1517,male,34
1518,male,32
1519,male,37
1520,male,35
1521,female,31
1522,male,34
1523,male,31
1524,male,51
1526,male,33
1528,male,42
1530,male,41
1531,female,38
1532,female,29
1533,female,59
1534,male,35
1535,male,38
1537,female,35
1538,female,46
1541,female,28
1542,female,63
1543,female,30
1544,male,39
1545,female,25
1546,male,40
1547,male,42
1548,male,31
1549,male,39
1551,male,52
1552,male,40
1553,female,26
1554,female,29
1555,male,50
1556,male,31
1557,male,49
1558,female,39
1559,male,52
1560,male,61
1561,male,65
1562,female,47
1563,female,34
1564,male,44
1565,male,32
1566,male,45
1567,male,37
1568,female,42
1569,female,36
1570,male,49
1571,male,34
1572,female,36
1573,male,36
1574,male,46
1575,male,33
1576,male,27
1577,male,29
1578,male,51
