id,est_gender,est_age
4450,,0
4451,male,31
4452,female,27
4454,male,36
4455,,0
4456,,0
4457,,0
4458,,0
4459,,0
4460,,0
4461,,0
4462,,0
4464,male,40
4465,male,71
4466,female,27
4467,female,34
4468,female,46
4469,male,29
4470,male,40
4471,male,34
4472,female,35
4473,female,36
4474,male,61
4475,female,35
4476,male,42
4477,male,36
4478,female,32
4479,female,42
4480,female,32
4481,male,37
4482,female,17
4483,male,40
4484,male,63
4485,male,63
4486,,0
4487,male,71
4488,male,57
4489,,0
4491,female,26
4492,female,57
4493,male,49
4494,male,47
4495,female,39
4496,male,53
4497,male,53
4498,male,38
4499,female,27
4500,female,35
4501,male,60
4502,male,47
4503,female,35
4504,male,40
4505,female,26
4506,female,43
4507,female,31
4508,,0
4509,female,29
4510,male,29
4513,male,37
4514,male,61
4515,,0
4516,male,54
4517,male,39
4519,male,33
4520,male,62
4521,,0
4522,female,51
4523,male,31
4524,male,39
4525,male,49
4526,,0
4527,male,33
4528,female,21
4529,,0
4530,male,50
4531,female,32
4532,female,28
4533,female,35
4534,male,46
4535,,0
4536,female,34
4537,female,23
4538,male,37
4540,male,37
4541,male,44
4542,female,52
4543,female,27
4544,,0
4545,female,51
4546,female,38
4548,male,48
4549,female,45
4551,male,37
4552,,0
4553,male,34
4554,female,25
4556,male,35
4557,male,51
4558,female,42
4559,male,48
4561,male,33
4562,female,32
4563,male,55
4564,,0
4566,female,28
4567,female,54
4568,female,25
4569,male,45
4570,,0
4571,female,36
4572,,0
4573,male,44
4574,female,19
4575,female,23
4576,,0
4577,male,26
4578,,0
4579,,0
4581,female,30
4582,female,45
4583,male,33
4584,female,27
4585,male,50
4586,male,36
4587,male,26
4588,,0
4589,male,34
4590,male,35
4591,male,41
4592,male,29
4593,female,22
4594,male,42
4595,,0
4596,,0
4598,,0
4599,,0
4600,,0
4601,,0
4602,,0
4603,female,29
4604,,0
4605,,0
4606,,0
4607,male,33
4608,,0
4609,,0
4610,,0
4611,male,59
4612,male,33
4613,male,30
4614,female,33
4615,male,28
4616,female,27
4618,male,47
4619,female,47
4620,male,31
4621,male,51
4622,female,34
4624,female,35
4625,female,51
4626,male,34
4627,female,34
4628,female,35
4629,female,25
4630,,0
4631,male,34
4632,female,37
4633,female,46
4634,male,35
4635,male,32
4636,female,30
4637,female,45
4638,male,33
4639,male,31
4640,female,37
4641,male,36
4642,,0
4643,,0
4644,male,25
4645,female,44
4647,female,30
4648,male,42
4649,female,21
4650,female,39
4651,female,35
4652,female,24
4653,,0
4654,,0
4655,male,38
4656,male,34
4657,male,39
4659,male,43
4660,male,29
4661,male,41
4662,female,38
4663,male,35
4664,male,57
4666,male,23
4667,male,31
4668,female,40
4670,female,32
4671,female,26
4672,male,40
4673,male,31
4674,female,39
4675,male,63
4676,female,43
4677,male,68
4678,male,40
4679,male,62
4680,female,27
4681,male,27
4682,male,58
4683,female,19
4684,male,34
4685,male,41
4686,male,35
4687,male,31
4688,female,32
4689,female,41
4690,female,23
4691,male,35
4692,male,62
4693,,0
4694,female,25
4695,male,60
4696,female,50
4697,male,45
4698,male,36
4699,male,35
4700,male,29
4701,female,28
4702,female,32
4705,female,22
4706,,0
4707,male,43
4708,male,54
4709,male,23
4710,male,31
4711,male,33
4712,male,71
4713,female,25
4714,male,20
4715,male,26
4716,,0
4717,,0
4718,,0
4719,female,23
4720,,0
4721,male,47
4722,male,28
4724,male,39
4725,male,33
4726,male,19
4727,female,34
4728,,0
4729,,0
4730,female,22
4731,female,30
4732,female,56
4734,female,33
4735,female,21
4737,female,68
4738,female,35
4739,female,23
4740,male,28
4741,female,27
4742,female,32
4743,male,59
4744,male,38
4745,,0
4747,,0
4748,male,63
4749,male,41
4750,,0
4751,female,34
4752,,0
4753,female,32
4754,male,48
4756,,0
4757,female,26
4758,female,23
4759,female,24
4760,female,19
4761,female,23
4762,male,45
4763,,0
4764,,0
4765,,0
4766,,0
4767,male,31
4768,,0
4769,,0
4770,female,28
4771,male,30
4772,female,26
4773,female,18
4774,male,51
4775,male,34
4776,female,30
4777,male,40
4778,male,34
4779,female,31
4780,,0
4781,,0
4782,,0
4783,,0
4784,male,40
4785,,0
4786,,0
4787,male,54
4788,,0
4789,male,35
4790,male,44
4791,male,28
4792,,0
4793,male,53
4794,female,20
4795,,0
4796,male,40
4797,,0
4798,female,27
4799,male,38
4800,male,40
4801,male,39
4802,male,47
4803,female,38
4804,female,51
4805,female,30
4806,,0
4807,female,31
4808,female,40
4809,female,23
4810,female,30
4811,female,20
4812,female,40
4813,male,35
4814,male,35
4816,female,38
4817,,0
4818,male,32
4819,female,29
4821,male,37
4822,,0
4823,,0
4824,female,32
4825,male,45
4826,male,37
4827,female,37
4828,female,41
4829,male,48
4830,male,36
4831,male,34
4832,female,32
4833,male,52
4834,female,34
4835,male,30
4836,female,44
4837,female,30
4838,,0
4839,male,44
4840,male,35
4841,female,46
4842,male,49
4843,male,36
4844,male,43
4845,female,49
4846,female,27
4847,female,41
4849,female,28
4850,female,39
4851,male,40
4852,female,45
4853,female,31
4855,,0
4857,male,35
4859,female,28
4860,female,47
4861,,0
4862,,0
4863,male,37
4867,,0
4868,,0
4869,female,25
4870,,0
4871,female,27
4872,,0
4874,male,29
4875,female,23
4876,male,29
4877,female,36
4878,male,33
4879,,0
4880,,0
4881,male,47
4882,female,42
4883,,0
4884,male,42
4885,female,33
4886,,0
4887,female,35
4888,male,43
4890,male,56
4892,female,42
4893,male,32
4894,male,36
4895,male,43
4896,male,42
4897,female,44
4898,female,26
4899,male,53
4900,female,31
4901,female,27
4902,male,37
4903,female,29
4904,male,29
4905,female,27
4906,,0
4907,,0
4908,,0
4909,male,45
4910,male,51
4911,,0
4912,female,22
4913,female,25
4914,male,28
4915,male,33
4917,female,18
4918,male,33
4919,female,42
4920,male,41
4921,male,65
4922,female,34
4923,male,31
4924,female,32
4926,,0
4927,,0
4928,,0
4929,female,23
4930,male,37
4931,male,34
4934,male,29
4935,female,32
4936,male,33
4937,male,36
4938,male,32
4939,,0
4940,male,34
4941,,0
4942,,0
4943,,0
4944,,0
4945,,0
4947,female,25
4948,male,31
4949,male,41
4951,male,50
4952,male,38
4953,female,30
4954,male,35
4955,female,33
4956,female,40
4957,female,48
4959,male,34
4960,male,45
4961,female,35
4964,male,25
4965,male,33
4966,male,39
4967,male,25
4968,,0
4969,male,55
4970,male,50
4971,male,31
4972,female,26
4973,female,32
4974,,0
4975,male,19
4976,male,33
4977,,0
4978,male,38
4979,,0
4980,female,39
4981,,0
4982,female,41
4983,female,26
4984,female,22
4985,,0
4986,female,34
4987,male,58
4988,,0
4989,,0
4990,,0
4991,female,22
4992,,0
4993,female,32
4994,female,20
4995,female,37
4996,male,37
4997,male,27
4998,female,27
4999,,0
5000,,0
5003,female,40
5004,,0
5005,female,28
5006,male,35
5007,female,26
5008,male,33
5009,male,35
5010,,0
5011,male,38
5012,male,36
5013,,0
5014,male,32
5015,female,17
5016,male,37
5017,,0
5021,,0
5022,,0
5023,male,70
5025,,0
5026,,0
5028,female,35
5029,,0
5030,,0
5031,male,18
5032,male,20
5033,female,30
5034,male,50
5035,female,22
5036,male,54
5037,male,37
5038,female,36
5039,,0
5040,female,27
5041,,0
5042,,0
5043,female,19
5044,male,42
5045,female,39
5046,male,53
5047,,0
5048,female,49
5049,female,37
5050,female,27
5051,,0
5052,male,40
5053,male,32
5054,female,33
5055,male,37
5056,,0
5057,female,31
5058,male,33
5059,female,29
5060,female,45
5061,female,33
5063,male,36
5064,male,53
5065,,0
5066,female,46
5067,,0
5068,,0
5069,male,33
5070,,0
5071,male,34
5074,female,18
5076,,0
5077,female,24
5079,male,20
5080,female,43
5081,male,48
5082,female,31
5083,,0
5084,female,30
5085,male,36
5086,female,44
5087,female,31
5088,male,48
5090,male,43
5091,,0
5092,male,55
5093,male,32
5094,male,32
5095,female,28
5096,male,37
5097,,0
5098,male,40
5099,female,23
5100,male,27
5101,,0
5102,female,30
5103,,0
5104,female,42
5105,,0
5106,male,53
5107,,0
5108,female,28
5109,,0
5110,female,43
5111,male,31
5112,male,32
5113,female,19
5114,female,20
5115,male,30
5117,female,20
5119,female,41
5120,,0
5121,male,51
5122,female,28
5123,,0
5124,female,24
5125,,0
5126,,0
5127,male,26
5128,female,56
5129,male,36
5130,female,40
5131,female,39
5132,male,38
5133,male,46
5134,female,39
5135,female,43
5136,female,31
5137,male,53
5138,male,42
5139,male,51
5140,male,37
5141,female,33
5142,female,38
5143,male,44
5144,female,28
5145,male,49
5146,female,47
5147,male,29
5148,male,56
5149,male,31
5150,male,40
5151,female,50
5152,male,38
5153,female,31
5154,female,28
5155,male,38
5156,male,40
5157,female,28
5158,male,27
5159,male,40
5160,male,44
5161,male,30
5164,male,37
5165,male,42
5167,,0
5168,male,53
5169,male,33
5170,female,21
5171,,0
5172,male,30
5173,female,23
5178,male,44
